SeqID	CMSVM-_Localization	CMSVM-_Details	CytoSVM-_Localization	CytoSVM-_Details	ECSVM-_Localization	ECSVM-_Details	ModHMM-_Localization	ModHMM-_Details	Motif-_Localization	Motif-_Details	OMPMotif-_Localization	OMPMotif-_Details	OMSVM-_Localization	OMSVM-_Details	PPSVM-_Localization	PPSVM-_Details	Profile-_Localization	Profile-_Details	SCL-BLAST-_Localization	SCL-BLAST-_Details	SCL-BLASTe-_Localization	SCL-BLASTe-_Details	Signal-_Localization	Signal-_Details	Cytoplasmic_Score	CytoplasmicMembrane_Score	Periplasmic_Score	OuterMembrane_Score	Extracellular_Score	Final_Localization	Final_Localization_Details	Final_Score	Secondary_Localization	PSortb_Version
WP_042250442 nitrate oxidoreductase subunit alpha  partial Nitrospina gracilis	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 38605512: Selenate reductase subunit alpha precursor	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0.06	9.76	0.06	0.11	Periplasmic		9.76		PSORTb version 3.0
NP_85m_PROKKA_04528 Perchlorate reductase subunit alpha precursor	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 38605512: Selenate reductase subunit alpha precursor	Unknown	No matches against database	Unknown	No signal peptide detected	0.33	0.06	9.44	0.06	0.11	Periplasmic		9.44		PSORTb version 3.0
ETNP14_120maa_PROKKA_56104 Perchlorate reductase subunit alpha precursor	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 38605512: Selenate reductase subunit alpha precursor	Unknown	No matches against database	Unknown	No signal peptide detected	0.33	0.06	9.44	0.06	0.11	Periplasmic		9.44		PSORTb version 3.0
ETNP_120m_PROKKA_17226 Chlorate reductase subunit gamma precursor	Unknown		Unknown		Extracellular		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0.01	0.11	0.23	9.65	Extracellular		9.65		PSORTb version 3.0
WP_018048164 hypothetical protein Nitrospina sp AB-629-B18	Unknown		Unknown		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	2.5	2.5	2.5	2.5	Unknown		2.5		PSORTb version 3.0
ETNP14_120maa_PROKKA_145159 Ammonium transporter NrgA	Unknown		Unknown		Unknown		CytoplasmicMembrane	4 internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	CytoplasmicMembrane	matched 6225058: Ammonia channel precursor	Unknown	No matches against database	Unknown	No signal peptide detected	0	10	0	0	0	CytoplasmicMembrane		10		PSORTb version 3.0
ETNP14_120mab_PROKKA_157108 hypothetical protein	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Unknown	No signal peptide detected	2	2	2	2	2	Unknown		2		PSORTb version 3.0
ETNP14_120mab_PROKKA_99350 hypothetical protein	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Unknown	No signal peptide detected	2	2	2	2	2	Unknown		2		PSORTb version 3.0
WP_018049561 hypothetical protein Nitrospina sp AB-629-B18	Unknown		Unknown		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	2.5	2.5	2.5	2.5	Unknown		2.5		PSORTb version 3.0
WP_018047897 hypothetical protein Nitrospina sp AB-629-B18	Unknown		Unknown		Extracellular		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Periplasmic		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0	4.45	0.01	5.54	Unknown	 (This protein may have multiple localization sites.)	5.54		PSORTb version 3.0
WP_011784398 chaperone protein ClpB Marinobacter hydrocarbonoclasticus	Unknown		Cytoplasmic		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Cytoplasmic	matched 54036848: Chaperone clpB (Heat-shock protein F84.1)	Unknown	No matches against database	Unknown	No signal peptide detected	9.97	0.01	0.01	0	0	Cytoplasmic		9.97		PSORTb version 3.0
NP_300m_PROKKA_26128 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Cytoplasmic		Unknown		Unknown	No internal helices found	Periplasmic	matched PS01039: SBP_BACTERIAL_3 Pattern - Periplasmic	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0	10	0	0	Periplasmic		10		PSORTb version 3.0
WP_015350892 ATP-dependent Clp protease  ATP-binding subunit ClpC Myxococcus stipitatus	Unknown		Cytoplasmic		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Cytoplasmic	matched 586900: Cytoplasmic protein	Unknown	No matches against database	Unknown	No signal peptide detected	9.97	0.01	0.01	0	0	Cytoplasmic		9.97		PSORTb version 3.0
ETNP_120m_particle_PROKKA_230712 Negative regulator of genetic competence ClpC/MecB	Unknown		Cytoplasmic		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Cytoplasmic	matched 586900: Cytoplasmic protein	Unknown	No matches against database	Unknown	No signal peptide detected	9.97	0.01	0.01	0	0	Cytoplasmic		9.97		PSORTb version 3.0
XP_003056479 beta tubulin  Micromonas pusilla CCMP1545	Unknown		Cytoplasmic		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Unknown	No signal peptide detected	8.96	0.51	0.26	0.01	0.26	Cytoplasmic		8.96		PSORTb version 3.0
ETNP14_68mB_PROKKA_39666 Bacterial extracellular solute-binding protein	Unknown		Cytoplasmic		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 15595801: probable binding protein component of ABC transporter[Pseudomonas aeruginosa PAO1]	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0.12	9.76	0	0.11	Periplasmic		9.76		PSORTb version 3.0
ETNP14_120maa_PROKKA_31996 hypothetical protein	Unknown		Unknown		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 15595801: probable binding protein component of ABC transporter[Pseudomonas aeruginosa PAO1]	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0.06	9.76	0.06	0.11	Periplasmic		9.76		PSORTb version 3.0
"ETNP14_120mab_PROKKA_99293 NADH dehydrogenase subunit I_120mF_megahit_PEDPKPGI_178103 NAD(P)H-quinone oxidoreductase subunit I, chloroplastic"	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Unknown	No signal peptide detected	2	2	2	2	2	Unknown		2		PSORTb version 3.0
"ETNP_120m_PROKKA_308104 NAD(P)H-quinone oxidoreductase subunit I, chloroplastic"	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Unknown	No signal peptide detected	2	2	2	2	2	Unknown		2		PSORTb version 3.0
ETNP14_120maa_PROKKA_140717 glycine betaine transporter periplasmic subunit	Unknown		Unknown		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	2.5	2.5	2.5	2.5	Unknown		2.5		PSORTb version 3.0
ETNP_140m_PROKKA_160529 Alpha-keto acid-binding periplasmic protein TakP precursor_ETNP_300m_PROKKA_19830 Alpha-keto acid-binding periplasmic protein TakP precursor	Unknown		Cytoplasmic		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Unknown	No signal peptide detected	8.96	0.51	0.26	0.01	0.26	Cytoplasmic		8.96		PSORTb version 3.0
ETNP_300m_PROKKA_19830 Alpha-keto acid-binding periplasmic protein TakP precursor	Unknown		Cytoplasmic		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Unknown	No signal peptide detected	8.96	0.51	0.26	0.01	0.26	Cytoplasmic		8.96		PSORTb version 3.0
ETNP_120m_free_PROKKA_61385 Monocarboxylate 2-oxoacid-binding periplasmic protein precursor	Unknown		Cytoplasmic		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	4.9	2.5	0.1	2.5	Unknown	 (This protein may have multiple localization sites.)	4.9		PSORTb version 3.0
ETNP_120m_PROKKA_306054 Monocarboxylate 2-oxoacid-binding periplasmic protein precursor	Unknown		Cytoplasmic		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	4.9	2.5	0.1	2.5	Unknown	 (This protein may have multiple localization sites.)	4.9		PSORTb version 3.0
NP_300m_PROKKA_29559 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Unknown		Extracellular		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0	4.91	0.07	5.02	Unknown	 (This protein may have multiple localization sites.)	5.02		PSORTb version 3.0
NP_300m_PROKKA_31612 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Unknown		Extracellular		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0	4.91	0.07	5.02	Unknown	 (This protein may have multiple localization sites.)	5.02		PSORTb version 3.0
ETNP14_120maa_PROKKA_145599 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Unknown		Extracellular		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0	4.91	0.07	5.02	Unknown	 (This protein may have multiple localization sites.)	5.02		PSORTb version 3.0
ETNP14_120maa_PROKKA_76715 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Unknown		Extracellular		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0	4.91	0.07	5.02	Unknown	 (This protein may have multiple localization sites.)	5.02		PSORTb version 3.0
NP_300m_PROKKA_21309 glycine betaine transporter periplasmic subunit	Unknown		Cytoplasmic		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Unknown	No signal peptide detected	8.96	0.51	0.26	0.01	0.26	Cytoplasmic		8.96		PSORTb version 3.0
ETNP14_120maa_PROKKA_140179 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Unknown	No signal peptide detected	0.33	0.06	9.44	0.06	0.11	Periplasmic		9.44		PSORTb version 3.0
ETNP_100m_PROKKA_82916 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Unknown		Extracellular		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Unknown	No signal peptide detected	0.02	0	4.9	0.07	5.02	Unknown	 (This protein may have multiple localization sites.)	5.02		PSORTb version 3.0
ETNP14_68maa_PROKKA_126798 General L-amino acid-binding periplasmic protein AapJ precursor	Unknown		Unknown		Extracellular		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 3182887: Periplasmic protein	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0	4.91	0.07	5.02	Unknown	 (This protein may have multiple localization sites.)	5.02		PSORTb version 3.0
ETNP_100m_particle_PROKKA_145656 hypothetical protein	Unknown		Unknown		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Unknown	No signal peptide detected	2	2	2	2	2	Unknown		2		PSORTb version 3.0
ETNP14_68mB_PROKKA_15410 glycine betaine transporter periplasmic subunit	Unknown		Unknown		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 15600296: hypothetical protein[Pseudomonas aeruginosa PAO1]	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0.06	9.76	0.06	0.11	Periplasmic		9.76		PSORTb version 3.0
ETNP14_68maa_PROKKA_196822 glycine betaine transporter periplasmic subunit	Unknown		Unknown		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Periplasmic	matched 15600296: hypothetical protein[Pseudomonas aeruginosa PAO1]	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0.06	9.76	0.06	0.11	Periplasmic		9.76		PSORTb version 3.0
ETNP14_120maa_PROKKA_11411 Ammonia channel precursor	CytoplasmicMembrane		Unknown		Unknown		CytoplasmicMembrane	10 internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	CytoplasmicMembrane	matched 6225058: Ammonia channel precursor	Unknown	No matches against database	Unknown	No signal peptide detected	0	10	0	0	0	CytoplasmicMembrane		10		PSORTb version 3.0
NP_100m_PROKKA_07831 glycine betaine transporter periplasmic subunit	Unknown		Unknown		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Periplasmic		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	0.01	9.84	0.01	0.14	Periplasmic		9.84		PSORTb version 3.0
ETNP_120m_PROKKA_24459 Monocarboxylate 2-oxoacid-binding periplasmic protein precursor	Unknown		Cytoplasmic		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	4.9	2.5	0.1	2.5	Unknown	 (This protein may have multiple localization sites.)	4.9		PSORTb version 3.0
ETNP_160m_PROKKA_188359 Monocarboxylate 2-oxoacid-binding periplasmic protein precursor	Unknown		Cytoplasmic		Unknown		Unknown	1 internal helix found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	4.9	2.5	0.1	2.5	Unknown	 (This protein may have multiple localization sites.)	4.9		PSORTb version 3.0
ETNP_180m_PROKKA_214610 Monocarboxylate 2-oxoacid-binding periplasmic protein precursor	Unknown		Cytoplasmic		Unknown		Unknown	No internal helices found	Unknown	No motifs found	Unknown	No motifs found	Unknown		Unknown		Unknown	No matches to profiles found	Unknown	No matches against database	Unknown	No matches against database	Non-Cytoplasmic	Signal peptide detected	0	4.9	2.5	0.1	2.5	Unknown	 (This protein may have multiple localization sites.)	4.9		PSORTb version 3.0
